name	media type	episode count	dates aired	rating	url
God Eater Prologue	Special	1	2009-09-28 00:00:00	6.75	https://myanimelist.net/anime/10470/God_Eater_Prologue
God Eater	TV	13	2015-07-12 00:00:00	7.45	https://myanimelist.net/anime/27631/God_Eater
God Eater Reso Nantoka Gekijou: Nagerareta Shokupan	Special	1	2018-03-24 00:00:00	5.92	https://myanimelist.net/anime/37663/God_Eater_Reso_Nantoka_Gekijou__Nagerareta_Shokupan
God Eater Resonant Ops	ONA	1	2018-03-24 00:00:00	6.03	https://myanimelist.net/anime/38444/God_Eater_Resonant_Ops
God Eater Reso Nantoka Gekijou	ONA	8	2018-04-12 00:00:00	5.81	https://myanimelist.net/anime/37265/God_Eater_Reso_Nantoka_Gekijou
God Eater Reso Nantoka Gekijou: Episode EX	ONA	2	2018-08-06 00:00:00	5.76	https://myanimelist.net/anime/38433/God_Eater_Reso_Nantoka_Gekijou__Episode_EX
God Eater 3	ONA	1	2018-11-13 00:00:00	6.46	https://myanimelist.net/anime/38681/God_Eater_3
