name	media type	episode count	dates aired	rating
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai - Kuro Sakura no Heya	Special	1	2018-01-31 00:00:00	7.04
Fate/Extra: Last Encore - Illustrias Tendousetsu	TV	3	2018-07-29 00:00:00	6.70
Mahou Shoujo Lyrical Nanoha: Detonation	Movie	1	2018-10-19 00:00:00	7.53
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note - Hakamori to Neko to Majutsushi	Special	1	2018-12-31 00:00:00	7.17
Manga de Wakaru! Fate/Grand Order	Special	1	2018-12-31 00:00:00	7.93
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly	Movie	1	2019-01-12 00:00:00	8.66
Fate/kaleid liner Prisma☆Illya: Prisma☆Phantasm	OVA	1	2019-06-14 00:00:00	7.03
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note	TV	13	2019-07-07 00:00:00	7.61
Fate/stay night Movie: Heaven's Feel - III. Spring Song	Movie	1	2020	N/A
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot - Wandering; Agateram	Movie	1	2020	N/A
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot - Paladin; Agateram	Movie	1	2020 to ?	N/A
Kara no Kyoukai: The Garden of Sinners	Novel	NULL	NULL	8.58
Kara no Kyoukai: Mirai Fukuin - The Garden of Sinners/Recalled Out Summer	Novel	NULL	NULL	8.17
Kara no Kyoukai: Shuumatsu Rokuon/The Garden of Oblivion	Novel	NULL	NULL	7.72
Type-Moon Gakuen: Chibichuki!	Manga	NULL	NULL	7.99
Fate/stay night	Manga	NULL	NULL	7.62
Fate/Zero	Novel	NULL	NULL	8.64
Fate/Zero	Manga	NULL	NULL	7.86
Heart of Freaks	Novel	NULL	NULL	7.30
Fate/stay night: Heaven's Feel	Manga	NULL	NULL	8.11
Take Moon	Manga	NULL	NULL	7.73
Shingetsutan Tsukihime	Manga	NULL	NULL	8.25
Melty Blood	Manga	NULL	NULL	7.48
Melty Blood X	Manga	NULL	NULL	6.93
Hana no Miyako!	Manga	NULL	NULL	6.75
Melty Blood: Rojiura Nightmare	Manga	NULL	NULL	7.17
All Around Type-Moon	Manga	NULL	NULL	8.02
Mahoutsukai no Yoru	Novel	NULL	NULL	8.37
Fate/kaleid liner Prisma☆Illya	Manga	NULL	NULL	7.27
Fate/kaleid liner Prisma☆Illya 2wei!	Manga	NULL	NULL	7.57
Fate/kaleid liner Prisma☆Illya 3rei!!	Manga	NULL	NULL	8.30
Fate/stay night x Mahou Shoujo Lyrical Nanoha	One-shot	NULL	NULL	6.86
Mahou Shoujo Lyrical Nanoha A's	Manga	NULL	NULL	7.50
Mahou Shoujo Lyrical Nanoha StrikerS THE COMICS	Manga	NULL	NULL	7.54
Mahou Shoujo Lyrical Nanoha ViVid	Manga	NULL	NULL	7.73
Mahou Senki Lyrical Nanoha Force	Manga	NULL	NULL	7.50
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's - Tribute Comics	Manga	NULL	NULL	6.71
Mahou Shoujo Lyrical Nanoha	Novel	NULL	NULL	7.45
Mahou Shoujo Lyrical Nanoha Innocent	Manga	NULL	NULL	7.55
Mahou Shoujo Lyrical Nanoha: Material Musume. - Innocent	Manga	NULL	NULL	1
Mahou Shoujo Lyrical Nanoha A's Portable: The Gears of Destiny - Material Musume.	Manga	NULL	NULL	6.99
Mahou Shoujo Lyrical Nanoha InnocentS	Manga	NULL	NULL	7.37
Mahou Shoujo Lyrical Nanoha: Movie 1st the Comics	Manga	NULL	NULL	7.84
Original Chronicle Mahou Shoujo Lyrical Nanoha The 1st	Manga	NULL	NULL	1
Mahou Shoujo Lyrical Nanoha: Reflection the Comics	Manga	NULL	NULL	7.37
Mahou Senki Lyrical Nanoha Force Dimension	Manga	NULL	NULL	1
Mahou Shoujo Lyrical Nanoha ViVid LIFE	Manga	NULL	NULL	7.43
Fate/kaleid liner Prisma☆Illya	Novel	NULL	NULL	7.68
Fate/Extra	Manga	NULL	NULL	7.32
Fate/Extra	One-shot	NULL	NULL	7.12
Fate/Extra CCC: Fox Tail	Manga	NULL	NULL	7.56
Fate/Extra CCC	Manga	NULL	NULL	7.67
Himuro no Tenchi Fate/school Life	Manga	NULL	NULL	6.94
Fate/hollow ataraxia	Manga	NULL	NULL	7.49
Lord El-Melloi II-sei no Jikenbo	Novel	NULL	NULL	8.22
Fate/strange Fake	Novel	NULL	NULL	8.43
Fate/strange Fake	Manga	NULL	NULL	7.93
