name	media type	episode count	dates aired	rating	url
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen	TV	12	2019-01-12 00:00:00	8.48	https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen	Manga	NULL	NULL	8.86	https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
Kaguya-sama wo Kataritai	Manga	NULL	NULL	7.03	https://myanimelist.net/manga/114872/Kaguya-sama_wo_Kataritai
Kaguya-sama wa Kokurasetai: Doujin-ban	Manga	NULL	NULL	6.89	https://myanimelist.net/manga/114871/Kaguya-sama_wa_Kokurasetai__Doujin-ban
Kaguya-sama wa Kokurasetai: Shuuchiin Gakuen Nanafushigi	Novel	NULL	NULL	7.78	https://myanimelist.net/manga/115783/Kaguya-sama_wa_Kokurasetai__Shuuchiin_Gakuen_Nanafushigi
