name	media type	episode count	dates aired	rating	url
Koukaku Kidoutai: Stand Alone Complex	Novel	NULL	NULL	7.99	https://myanimelist.net/manga/7848/Koukaku_Kidoutai__Stand_Alone_Complex
Koukaku Kidoutai: Stand Alone Complex	Manga	NULL	NULL	7.56	https://myanimelist.net/manga/31935/Koukaku_Kidoutai__Stand_Alone_Complex
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man	Manga	NULL	NULL	7.62	https://myanimelist.net/manga/80473/Koukaku_Kidoutai__Stand_Alone_Complex_-_The_Laughing_Man
Shingeki no Kyojin	Manga	NULL	NULL	8.53	https://myanimelist.net/manga/23390/Shingeki_no_Kyojin
Shingeki no Kyojin Volume 0	Manga	NULL	NULL	6.46	https://myanimelist.net/manga/58203/Shingeki_no_Kyojin_Volume_0
Shingeki no Kyojin: Before the Fall	Novel	NULL	NULL	7.71	https://myanimelist.net/manga/43999/Shingeki_no_Kyojin__Before_the_Fall
Shingeki no Kyojin: Before the Fall	Manga	NULL	NULL	7.49	https://myanimelist.net/manga/57795/Shingeki_no_Kyojin__Before_the_Fall
Shingeki no Kyojin: Kuinaki Sentaku	Manga	NULL	NULL	8.20	https://myanimelist.net/manga/58007/Shingeki_no_Kyojin__Kuinaki_Sentaku
Shingeki no Kyojin: Kuinaki Sentaku - Prologue	One-shot	NULL	NULL	7.55	https://myanimelist.net/manga/70613/Shingeki_no_Kyojin__Kuinaki_Sentaku_-_Prologue
Shingeki! Kyojin Chuugakkou	Manga	NULL	NULL	6.97	https://myanimelist.net/manga/36535/Shingeki_Kyojin_Chuugakkou
Sungeki no Kyojin	Manga	NULL	NULL	7.15	https://myanimelist.net/manga/63907/Sungeki_no_Kyojin
Shingeki no Kyojin: Kakuzetsu Toshi no Joou	Novel	NULL	NULL	7.53	https://myanimelist.net/manga/75859/Shingeki_no_Kyojin__Kakuzetsu_Toshi_no_Joou
Shingeki no Kyojin: Lost Girls	Novel	NULL	NULL	7.68	https://myanimelist.net/manga/82799/Shingeki_no_Kyojin__Lost_Girls
Shingeki no Kyojin: Lost Girls	Manga	NULL	NULL	7.63	https://myanimelist.net/manga/91047/Shingeki_no_Kyojin__Lost_Girls
Innocence: After the Long Goodbye	Novel	NULL	NULL	7.79	https://myanimelist.net/manga/10820/Innocence__After_the_Long_Goodbye
Kindaichi Shounen no Jikenbo: File Series	Manga	NULL	NULL	8.25	https://myanimelist.net/manga/393/Kindaichi_Shounen_no_Jikenbo__File_Series
Kindaichi Shounen no Jikenbo - Case Series	Manga	NULL	NULL	8.06	https://myanimelist.net/manga/17149/Kindaichi_Shounen_no_Jikenbo_-_Case_Series
Kindaichi Shounen no Jikenbo - Shin Series	Manga	NULL	NULL	7.96	https://myanimelist.net/manga/21307/Kindaichi_Shounen_no_Jikenbo_-_Shin_Series
Kindaichi Shounen no Jikenbo	Novel	NULL	NULL	1	https://myanimelist.net/manga/114862/Kindaichi_Shounen_no_Jikenbo
Kindaichi Shounen no Jikenbo: 20th Shuunen Kinen Series	Manga	NULL	NULL	7.72	https://myanimelist.net/manga/90585/Kindaichi_Shounen_no_Jikenbo__20th_Shuunen_Kinen_Series
Kindaichi Shounen no Jikenbo Returns	Manga	NULL	NULL	7.67	https://myanimelist.net/manga/69503/Kindaichi_Shounen_no_Jikenbo_Returns
Kindaichi Shounen no Jikenbo - Short File Series	Manga	NULL	NULL	7.78	https://myanimelist.net/manga/17111/Kindaichi_Shounen_no_Jikenbo_-_Short_File_Series
Akechi Keibu no Jikenbo	Manga	NULL	NULL	1	https://myanimelist.net/manga/88589/Akechi_Keibu_no_Jikenbo
Kindaichi 37-sai no Jikenbo	Manga	NULL	NULL	7.51	https://myanimelist.net/manga/112322/Kindaichi_37-sai_no_Jikenbo
Akechi Keishi no Yuuga Naru Jikenbo	Manga	NULL	NULL	7.40	https://myanimelist.net/manga/18668/Akechi_Keishi_no_Yuuga_Naru_Jikenbo
Akechi Shounen no Karei Naru Jikenbo	Manga	NULL	NULL	7.43	https://myanimelist.net/manga/18654/Akechi_Shounen_no_Karei_Naru_Jikenbo
Takato Shounen no Jikenbo	Manga	NULL	NULL	6.87	https://myanimelist.net/manga/65669/Takato_Shounen_no_Jikenbo
Kindaichi Shounen no Ippaku Futsuka Shouryokou	Manga	NULL	NULL	6.89	https://myanimelist.net/manga/71821/Kindaichi_Shounen_no_Ippaku_Futsuka_Shouryokou
Kindaichi Shounen no Jikenbo Gaiden: Hannin-tachi no Jikenbo	Manga	NULL	NULL	1	https://myanimelist.net/manga/111192/Kindaichi_Shounen_no_Jikenbo_Gaiden__Hannin-tachi_no_Jikenbo
Versailles no Bara	Manga	NULL	NULL	8.41	https://myanimelist.net/manga/660/Versailles_no_Bara
Versailles no Bara Gaiden	Manga	NULL	NULL	7.56	https://myanimelist.net/manga/9820/Versailles_no_Bara_Gaiden
Versailles no Bara: Episode-hen	Manga	NULL	NULL	7.40	https://myanimelist.net/manga/80223/Versailles_no_Bara__Episode-hen
Berubara Kids	Manga	NULL	NULL	7.16	https://myanimelist.net/manga/18791/Berubara_Kids
Eikou of Napoleon	Manga	NULL	NULL	7.47	https://myanimelist.net/manga/12842/Eikou_of_Napoleon
PuriGorota: Uchuu no Yuujou Daibouken	OVA	1	Nov, 2008	5.00	https://myanimelist.net/anime/5656/PuriGorota__Uchuu_no_Yuujou_Daibouken
Channel 5.5 4th Season Prologue	ONA	1	Nov, 2014	5.45	https://myanimelist.net/anime/29862/Channel_55_4th_Season_Prologue
Shingeki no Kyojin The Final Season	TV	Unknown	Oct, 2020 to ?	N/A	https://myanimelist.net/anime/40028/Shingeki_no_Kyojin_The_Final_Season
