name	media type	episode count	dates aired	rating	url
No Game No Life	TV	12	2014-04-09 00:00:00	8.36	https://myanimelist.net/anime/19815/No_Game_No_Life
No Game No Life Specials	Special	6	2014-06-25 00:00:00	6.81	https://myanimelist.net/anime/24991/No_Game_No_Life_Specials
No Game No Life: Zero	Movie	1	2017-07-15 00:00:00	8.58	https://myanimelist.net/anime/33674/No_Game_No_Life__Zero
No Game No Life: Zero - Manner Movie	Movie	1	2017-07-15 00:00:00	7.08	https://myanimelist.net/anime/37402/No_Game_No_Life__Zero_-_Manner_Movie
No Game No Life	Novel	NULL	NULL	8.66	https://myanimelist.net/manga/48399/No_Game_No_Life
No Game No Life	Manga	NULL	NULL	8.13	https://myanimelist.net/manga/48397/No_Game_No_Life
No Game No Life, desu!	Manga	NULL	NULL	7.47	https://myanimelist.net/manga/89961/No_Game_No_Life_desu
No Game No Life: Practical War Game	Novel	NULL	NULL	8.35	https://myanimelist.net/manga/103268/No_Game_No_Life__Practical_War_Game
