name	media type	episode count	dates aired	rating
Date A Live	TV	12	2013-04-06 00:00:00	7.42
Date A Live	TV	12	2013-04-06 00:00:00	7.42
Date A Live: Date to Date	OVA	1	2013-12-06 00:00:00	7.48
Date A Live II	TV	10	2014-04-12 00:00:00	7.41
Date A Live II: Kurumi Star Festival	OVA	1	2014-12-08 00:00:00	8.01
Date A Live Movie: Mayuri Judgment	Movie	1	2015-08-22 00:00:00	7.49
Date A Live III	TV	12	2019-01-11 00:00:00	7.27
