name	media type	episode count	dates aired	rating
Kaichou wa Maid-sama!	TV	26	2010-04-02 00:00:00	8.18
Kaichou wa Maid-sama!	TV	26	2010-04-02 00:00:00	8.18
Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥	Special	1	2010-07-24 00:00:00	7.41
Kaichou wa Maid-sama!: Omake dayo!	Special	1	2011-05-11 00:00:00	7.56
Kaichou wa Maid-sama!	Manga	NULL	NULL	8.45
Kaichou wa Maid-sama!: Marriage	Manga	NULL	NULL	8.33
Yuki wa Jigoku ni Ochiru no ka	Manga	NULL	NULL	7.42
Yukiochimura ni Ojousama!	One-shot	NULL	NULL	7.19
