name	media type	episode count	dates aired	rating
Sora no Otoshimono	TV	13	2009-10-05 00:00:00	7.52
Sora no Otoshimono	TV	13	2009-10-05 00:00:00	7.52
Sora no Otoshimono: Project Pink	OVA	1	2010-09-09 00:00:00	7.53
Sora no Otoshimono: Forte	TV	12	2010-10-02 00:00:00	7.70
Sora no Otoshimono: Tokeijikake no Angeloid	Movie	1	2011-06-25 00:00:00	7.73
Sora no Otoshimono Final: Eternal My Master	Movie	1	2014-04-26 00:00:00	6.85
