name	media type	episode count	dates aired	rating	url
No Game No Life	TV	12	2014-04-09 00:00:00	8.36	https://myanimelist.net/anime/19815/No_Game_No_Life
No Game No Life Specials	Special	6	2014-06-25 00:00:00	6.81	https://myanimelist.net/anime/24991/No_Game_No_Life_Specials
No Game No Life: Zero	Movie	1	2017-07-15 00:00:00	8.58	https://myanimelist.net/anime/33674/No_Game_No_Life__Zero
No Game No Life: Zero - Manner Movie	Movie	1	2017-07-15 00:00:00	7.08	https://myanimelist.net/anime/37402/No_Game_No_Life__Zero_-_Manner_Movie
