name	media type	episode count	dates aired	rating	url
Kamisama Hajimemashita	TV	13	2012-10-02 00:00:00	8.13	https://myanimelist.net/anime/14713/Kamisama_Hajimemashita
Kamisama Hajimemashita OVA	OVA	2	2013-08-20 00:00:00	8.06	https://myanimelist.net/anime/18661/Kamisama_Hajimemashita_OVA
Kamisama Hajimemashita◎	TV	12	2015-01-06 00:00:00	8.25	https://myanimelist.net/anime/25681/Kamisama_Hajimemashita◎
Kamisama Hajimemashita: Kako-hen	OVA	4	2015-08-20 00:00:00	8.50	https://myanimelist.net/anime/30709/Kamisama_Hajimemashita__Kako-hen
Kamisama Hajimemashita: Kamisama, Shiawase ni Naru	OVA	1	2016-12-20 00:00:00	8.18	https://myanimelist.net/anime/33323/Kamisama_Hajimemashita__Kamisama_Shiawase_ni_Naru
Kamisama Hajimemashita	Manga	NULL	NULL	8.56	https://myanimelist.net/manga/8157/Kamisama_Hajimemashita
Kamisama Hajimemashita: Kurama-yama Yawa	Novel	NULL	NULL	8.10	https://myanimelist.net/manga/88679/Kamisama_Hajimemashita__Kurama-yama_Yawa
Kamisama Hajimemashita: Sonogo no Futari	One-shot	NULL	NULL	7.80	https://myanimelist.net/manga/110668/Kamisama_Hajimemashita__Sonogo_no_Futari
