name	media type	episode count	dates aired	rating
Shokugeki no Souma	TV	24	2015-04-04 00:00:00	8.50
Shokugeki no Souma OVA	OVA	2	2016-05-02 00:00:00	7.47
Shokugeki no Souma: Ni no Sara	TV	13	2016-07-02 00:00:00	8.42
Shokugeki no Souma: Ni no Sara	TV	13	2016-07-02 00:00:00	8.42
Shokugeki no Souma: Ni no Sara OVA	OVA	2	2017-05-01 00:00:00	7.69
Shokugeki no Souma: San no Sara	TV	12	2017-10-04 00:00:00	8.42
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen	TV	12	2018-04-09 00:00:00	8.35
Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina	OVA	1	2018-05-02 00:00:00	7.60
Shokugeki no Souma: Shin no Sara	TV	Unknown	Oct, 2019 to ?	N/A
