name	media type	episode count	dates aired	rating	url
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai	TV	13	2018-10-04 00:00:00	8.47	https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Picture Drama	Special	5	2018-12-19 00:00:00	7.39	https://myanimelist.net/anime/38938/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai_Picture_Drama
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai	Movie	1	2019-06-15 00:00:00	8.41	https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
Seishun Buta Yarou Series	Novel	NULL	NULL	8.25	https://myanimelist.net/manga/70399/Seishun_Buta_Yarou_Series
Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai	Manga	NULL	NULL	7.70	https://myanimelist.net/manga/92182/Seishun_Buta_Yarou_wa_Bunny_Girl-senpai_no_Yume_wo_Minai
Seishun Buta Yaro wa Petit Devil Kouhai no Yume wo Minai	Manga	NULL	NULL	1	https://myanimelist.net/manga/116482/Seishun_Buta_Yaro_wa_Petit_Devil_Kouhai_no_Yume_wo_Minai
Seishun Buta Yaro wa Petit Devil Kouhai no Yume wo Minai	Manga	NULL	NULL	1	https://myanimelist.net/manga/117539/Seishun_Buta_Yaro_wa_Petit_Devil_Kouhai_no_Yume_wo_Minai
Seishun Buta Yaro wa Petit Devil Kouhai no Yume wo Minaiu	Manga	NULL	NULL	1	https://myanimelist.net/manga/117540/Seishun_Buta_Yaro_wa_Petit_Devil_Kouhai_no_Yume_wo_Minaiu
