name	media type	episode count	dates aired	rating
Dragon Ball Movie 3: Makafushigi Daibouken	Movie	1	1988-07-09 00:00:00	7.01
Tatakae!! Ramenman (Movie)	Movie	1	1988-07-09 00:00:00	6.00
Violence Jack: Jigoku Gai-hen	OVA	1	1988-12-06 00:00:00	5.65
Lupin III: Bye Bye Liberty - Kiki Ippatsu!	Special	1	1989-04-01 00:00:00	6.92
Dragon Ball Z	TV	291	1989-04-26 00:00:00	8.29
Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!	Movie	1	1989-07-15 00:00:00	6.84
Devilman: Yochou Sirene-hen	OVA	1	1990-02-25 00:00:00	7.07
Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu	Movie	1	1990-03-10 00:00:00	6.79
Pink Mizu Dorobou Ame Dorobou	Movie	1	1990-07-07 00:00:00	5.54
Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen	Movie	1	1990-07-07 00:00:00	6.89
Kennosuke-sama	OVA	1	1990-07-07 00:00:00	5.45
Lupin III: Hemingway Paper no Nazo	Special	1	1990-07-20 00:00:00	7.00
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen	Special	1	1990-10-17 00:00:00	7.68
Violence Jack: Hell's Wind-hen	OVA	1	1990-11-09 00:00:00	5.56
Getter Robo Go	TV	50	1991-02-11 00:00:00	6.35
CB Chara Go Nagai World	OVA	3	1991-02-21 00:00:00	6.97
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu	Movie	1	1991-03-19 00:00:00	6.75
Abashiri Ikka	OVA	4	1991-05-21 00:00:00	5.51
Akai Hayate	OVA	4	1991-05-21 00:00:00	5.58
Yumemakura Baku Twilight Gekijou	OVA	4	1991-05-21 00:00:00	5.59
Eguchi Hisashi no Kotobuki Gorou Show	OVA	4	1991-05-21 00:00:00	5.40
Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou	Movie	1	1991-07-20 00:00:00	7.18
Kekkou Kamen	OVA	4	1991-08-01 00:00:00	5.81
Lupin III: Napoleon no Jisho wo Ubae	Special	1	1991-08-09 00:00:00	6.82
Kinnikuman: Kinnikusei Oui Soudatsu-hen	TV	46	1991-10-06 00:00:00	6.88
Kyuukyoku Choujin R	OVA	1	1991-10-24 00:00:00	6.55
Dr. Slump: Arale-chan '92 Oshougatsu Special	Special	3	1992-01-01 00:00:00	6.15
