name	media type	episode count	dates aired	rating	url
Toki wo Kakeru Shoujo	Movie	1	2006-07-15 00:00:00	8.30	https://myanimelist.net/anime/2236/Toki_wo_Kakeru_Shoujo
Toki wo Kakeru Shoujo	Manga	NULL	NULL	7.29	https://myanimelist.net/manga/4171/Toki_wo_Kakeru_Shoujo
Toki wo Kakeru Shoujo: Tokikake	Manga	NULL	NULL	7.77	https://myanimelist.net/manga/9256/Toki_wo_Kakeru_Shoujo__Tokikake
Toki wo Kakeru Shoujo: After	Manga	NULL	NULL	7.51	https://myanimelist.net/manga/28875/Toki_wo_Kakeru_Shoujo__After
