name	media type	episode count	dates aired	rating	url
Ookami to Koushinryou	TV	13	2008-01-09 00:00:00	8.33	https://myanimelist.net/anime/2966/Ookami_to_Koushinryou
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu	OVA	1	2009-04-30 00:00:00	7.95	https://myanimelist.net/anime/6007/Ookami_to_Koushinryou_II__Ookami_to_Kohakuiro_no_Yuuutsu
Ookami to Koushinryou II	TV	12	2009-07-09 00:00:00	8.41	https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II
Ookami to Koushinryou II Specials	Special	2	2009-10-07 00:00:00	7.10	https://myanimelist.net/anime/6884/Ookami_to_Koushinryou_II_Specials
Ookami to Koushinryou VR	ONA	Unknown	2019-06-03 00:00:00	7.26	https://myanimelist.net/anime/38026/Ookami_to_Koushinryou_VR
Ookami to Koushinryou	Novel	NULL	NULL	8.90	https://myanimelist.net/manga/9115/Ookami_to_Koushinryou
Ookami to Koushinryou	Manga	NULL	NULL	8.45	https://myanimelist.net/manga/3299/Ookami_to_Koushinryou
Shinsetsu Ookami to Koushinryou: Ookami to Youhishi	Novel	NULL	NULL	8.53	https://myanimelist.net/manga/99821/Shinsetsu_Ookami_to_Koushinryou__Ookami_to_Youhishi
Shinsetsu Ookami to Koushinryou: Ookami to Youhishi	Manga	NULL	NULL	1	https://myanimelist.net/manga/119626/Shinsetsu_Ookami_to_Koushinryou__Ookami_to_Youhishi
