Shimoneta_to_Iu_Gainen_ga_Sonzai_Shinai_Taikutsu_na_Sekai	https://myanimelist.net/anime/29786/Shimoneta_to_Iu_Gainen_ga_Sonzai_Shinai_Taikutsu_na_Sekai
Mayo_Chiki_	https://myanimelist.net/anime/10110/Mayo_Chiki
Grisaia_no_Meikyuu_Special	https://myanimelist.net/anime/31324/Grisaia_no_Meikyuu_Special
Zero_no_Tsukaima__Princesses_no_Rondo___Yuuwaku_no_Sunahama	https://myanimelist.net/anime/5764/Zero_no_Tsukaima__Princesses_no_Rondo_-_Yuuwaku_no_Sunahama
Mangaka_san_to_Assistant_san_to_The_Animation_Specials	https://myanimelist.net/anime/24475/Mangaka-san_to_Assistant-san_to_The_Animation_Specials
Highschool_of_the_Dead	https://myanimelist.net/anime/8074/Highschool_of_the_Dead
Kodomo_no_Jikan__Ni_Gakki	https://myanimelist.net/anime/4195/Kodomo_no_Jikan__Ni_Gakki
Kiss_x_Sis	https://myanimelist.net/anime/5042/Kiss_x_Sis
Tsugumomo	https://myanimelist.net/anime/34019/Tsugumomo
Shinmai_Maou_no_Testament__Toujou_Basara_no_Hard_Sweet_na_Nichijou	https://myanimelist.net/anime/29027/Shinmai_Maou_no_Testament__Toujou_Basara_no_Hard_Sweet_na_Nichijou
Freezing	https://myanimelist.net/anime/9367/Freezing
Rosario_to_Vampire	https://myanimelist.net/anime/2993/Rosario_to_Vampire
Netoge_no_Yome_wa_Onnanoko_ja_Nai_to_Omotta_	https://myanimelist.net/anime/31404/Netoge_no_Yome_wa_Onnanoko_ja_Nai_to_Omotta
Renkin_San_kyuu_Magical__Pokaan_Specials	https://myanimelist.net/anime/1489/Renkin_San-kyuu_Magical_Pokaan_Specials
Ikkitousen__Dragon_Destiny	https://myanimelist.net/anime/1956/Ikkitousen__Dragon_Destiny
Renai_Boukun	https://myanimelist.net/anime/32262/Renai_Boukun
C___Rikan_Gakkou_Confussion_	https://myanimelist.net/anime/12505/C%C2%B3__Rikan_Gakkou_Confussion
Okusama_ga_Seitokaichou_	https://myanimelist.net/anime/28819/Okusama_ga_Seitokaichou
Death_Note	https://myanimelist.net/anime/1535/Death_Note
Magi__The_Kingdom_of_Magic	https://myanimelist.net/anime/18115/Magi__The_Kingdom_of_Magic
Koukaku_Kidoutai	https://myanimelist.net/anime/43/Koukaku_Kidoutai
Tokyo_Ghoul	https://myanimelist.net/anime/22319/Tokyo_Ghoul
Bleach	https://myanimelist.net/anime/269/Bleach
Tonari_no_Kaibutsu_kun	https://myanimelist.net/anime/14227/Tonari_no_Kaibutsu-kun?q=my%20little%20monst
Mekakucity_Actors	https://myanimelist.net/anime/21603/Mekakucity_Actors?q=mekaku
Sukitte_Ii_na_yo_	https://myanimelist.net/anime/14289/Sukitte_Ii_na_yo?q=suki
